"caminho","categoria","formato","bytes","sha256","titulo"
"apps/docs/content/guides/api/sql-to-rest.mdx","guides","mdx","707","e7ca8fde90290ddd9e97a30f17dcbe58e655ff31aa78a40254c2347ee2356360","SQL to REST API Translator"
"apps/docs/content/guides/api/using-custom-schemas.mdx","guides","mdx","3409","cca961074b7c6e528ed6e9a6fc126f7996eb823249548d39eb40eab9473829aa","Using Custom Schemas"
"apps/docs/content/guides/auth.mdx","guides","mdx","2143","1aa8f8673c3862094375f337a09abc2f3bf8b8dd45df695bd734bed9eb05c3dc","Auth"
"apps/docs/content/guides/auth/_flow-template.mdx","guides","mdx","1619","e1f494e775059f388ea9fb0b64428989f0c1a8c8b068567a3d7aaea3aeba16a6","A DESCRIPTIVE TITLE"
"apps/docs/content/guides/auth/architecture.mdx","guides","mdx","3507","31fe9fd4465c3b49a1a7c35737ccef9d9147478c99be92577e45493eadb65529","Auth architecture"
"apps/docs/content/guides/auth/audit-logs.mdx","guides","mdx","4123","2992327ff13d94ed3acf7acef7c5d42e3651c6d9062534e4fb84d9f688501fcd","Auth Audit Logs"
"apps/docs/content/guides/auth/auth-anonymous.mdx","guides","mdx","13904","df92d67e986b6142462f65fef22080d06d30dd562a02d8dd991aeab9e6741180","Anonymous Sign-Ins"
"apps/docs/content/guides/auth/auth-captcha.mdx","guides","mdx","6182","653358547e64a30ab769591edc1441da744a20b532140562adfb3537b43e0b58","Enable CAPTCHA Protection"
"apps/docs/content/guides/auth/auth-email-passwordless.mdx","guides","mdx","11157","5d4185b5b749b35421dd6e1846b1b3b6fa07cec861406174582d13bd04f9cc41","Passwordless email logins"
"apps/docs/content/guides/auth/auth-email-templates.mdx","guides","mdx","17465","ec34b68be86e1100fa38cb917f8f730bd8c64d083d7071d1a87fcfc249be3d8c","Email Templates"
"apps/docs/content/guides/auth/auth-hooks.mdx","guides","mdx","19946","f0ba87b723bb3f23e253f63b3948296dec23572786d23b24a69a67d291a5d3b0","Auth Hooks"
"apps/docs/content/guides/auth/auth-hooks/before-user-created-hook.mdx","guides","mdx","24298","e479d1c15b328f437540272ebde8bbabc170bbb4c59e86dff349d5c957f0f852","Before User Created Hook"
"apps/docs/content/guides/auth/auth-hooks/custom-access-token-hook.mdx","guides","mdx","15219","b4944a1f55fd97ad4fb3a8829676b82fd14a1f51441e800a1688685b91effc87","Custom Access Token Hook"
"apps/docs/content/guides/auth/auth-hooks/mfa-verification-hook.mdx","guides","mdx","5876","8d3885f754b783de0021139e4a43e046e19fbbf7aeaf44acc3076c0dc699e1a5","MFA Verification Hook"
"apps/docs/content/guides/auth/auth-hooks/password-verification-hook.mdx","guides","mdx","10398","0e884e65c92aec8ce0e769ba75dd22edd6aa21e3c1176b0958905093adc63406","Password Verification Hook"
"apps/docs/content/guides/auth/auth-hooks/send-email-hook.mdx","guides","mdx","36378","c83d4ae1d73a814d8615ced1ee1a780b30da66ef0b1607065a5e83bbabd48e79","Send Email Hook"
"apps/docs/content/guides/auth/auth-hooks/send-sms-hook.mdx","guides","mdx","19579","f49e8dfc04a174b5b6cb98e3294b2a76924f2a26ab6461b1de64c67bad6333e4","Send SMS Hook"
"apps/docs/content/guides/auth/auth-identity-linking.mdx","guides","mdx","11161","319326092b4b24119e670220806b696fe79ee070ccc1115d27095c65ad75aab2","Identity Linking"
"apps/docs/content/guides/auth/auth-mfa.mdx","guides","mdx","16322","7ec8c191f4c36b5dc4239d460f0c05a53cf4f49dbd85f8638ba48ec113ea5504","Multi-Factor Authentication"
"apps/docs/content/guides/auth/auth-mfa/phone.mdx","guides","mdx","13242","e20cf016568f41fdb785324a470b49812dcebe3546f56550d5edfe92eaff2950","Multi-Factor Authentication (Phone)"
"apps/docs/content/guides/auth/auth-mfa/totp.mdx","guides","mdx","12997","7a308842819f3c5598b9662ab89b2af44e80bed5df01d4a2c1cff9034fc0fb58","Multi-Factor Authentication (TOTP)"
"apps/docs/content/guides/auth/auth-smtp.mdx","guides","mdx","12498","f7d0853739d787c6b9f7a8af0940d93732e815ab1df5e1963994480d6bd1508e","Send emails with custom SMTP"
"apps/docs/content/guides/auth/auth-web3.mdx","guides","mdx","11207","a9421bd9df94bbb5b69a891800ac076fa96931f9c1e7e08adcb6582591008602","Sign in with Web3"
"apps/docs/content/guides/auth/choosing-a-server-package.mdx","guides","mdx","5094","f3d8a3e7c9b0be24107b5a4d49f89fe3d6420d4cb05a3b10bc3755216d77d5a1","Which package to use"
"apps/docs/content/guides/auth/custom-oauth-providers.mdx","guides","mdx","11198","74541375e7a4bac2a94c9cde012cc7865e56ee0bb21d5b3a354a7794f973f397","Custom OAuth/OIDC Providers"
"apps/docs/content/guides/auth/debugging/error-codes.mdx","guides","mdx","6098","f3074433533ff88066fdb964cafec8170cf8e3e65ab0449c02902803d588dd36","Error Codes"
"apps/docs/content/guides/auth/enterprise-sso.mdx","guides","mdx","315","3651c32b7e535e9785670f79e70d2386d7018691258e39252706d50eb8e835af","Enterprise Single Sign-On"
"apps/docs/content/guides/auth/enterprise-sso/auth-sso-saml.mdx","guides","mdx","27131","9eb422bcb05a77bbf38ce2ad448b580c382d2cbfeaf94fa0a30171f84f4d748d","Single Sign-On with SAML 2.0 for Projects"
"apps/docs/content/guides/auth/general-configuration.mdx","guides","mdx","3309","d49d95be94f337ee640124596eddf3b29abb2b9f25309ef51a6bf24b883debf2","General configuration"
"apps/docs/content/guides/auth/identities.mdx","guides","mdx","3343","9c6e97e3a1b99e3e710abbdcc3df0093540c50ccdd8e7efb0a8836ceb8f7baf0","Identities"
"apps/docs/content/guides/auth/jwt-fields.mdx","guides","mdx","11510","bf9f97d87a6fe06dcdc57da1ad90c911302f8571231dac2a97028323b0eec81d","JWT Claims Reference"
"apps/docs/content/guides/auth/jwts.mdx","guides","mdx","13304","24e82062cd16b319f4c7e1e396f93da4c26b8b2a526dc611cf0942437b4601ab","JSON Web Token (JWT)"
"apps/docs/content/guides/auth/managing-user-data.mdx","guides","mdx","7986","bc4ba43f1debea0e9f81c4f79498efa6b8c5d16b807798dd5fa7dc17c9d8c4b8","User Management"
"apps/docs/content/guides/auth/native-mobile-deep-linking.mdx","guides","mdx","14467","b1a6b469fda1ff7f709f52108b40e8716533eeab80268ae31a2729a432c8aa9c","Native Mobile Deep Linking"
"apps/docs/content/guides/auth/oauth-server.mdx","guides","mdx","5031","8257a600a842896b3fa33b77761541d1c5fc9fde7c1289c010eb3220404127d9","OAuth 2.1 Server"
"apps/docs/content/guides/auth/oauth-server/getting-started.mdx","guides","mdx","28048","448e8d524aeeefc5f9e029abfb19c251955ac3343e0f1d80787bc0a7f6e73e08","Getting Started with OAuth 2.1 Server"
"apps/docs/content/guides/auth/oauth-server/mcp-authentication.mdx","guides","mdx","6893","6f7c0ed8afd76394f62464ce2cc0644acd899d8d5d895ea82f86ebebf1c3dd96","Model Context Protocol (MCP) Authentication"
"apps/docs/content/guides/auth/oauth-server/oauth-flows.mdx","guides","mdx","35523","62039b7f4aa41cad00ec67f2c4f6ebc84efce3d26e5cbdd96bdb867bf94d5406","OAuth 2.1 Flows"
"apps/docs/content/guides/auth/oauth-server/token-security.mdx","guides","mdx","12706","17a3171df2d5537d2d19eb7838c816bc4aa13283e7f9b7041ca9aab9f6aedef8","Token Security and Row Level Security"
"apps/docs/content/guides/auth/passkeys.mdx","guides","mdx","20246","f366396a95e316d0f25e1dada31988a9e6034d23e183e278469668a581e93704","Passkey authentication"
"apps/docs/content/guides/auth/password-security.mdx","guides","mdx","5194","c7c13fc5ba72a0ae343702cfbefcc114428aff1bb7ad341e70bf237933f554f4","Password security"
"apps/docs/content/guides/auth/passwords.mdx","guides","mdx","39565","9ac8c1e062b81d0a7cad5241657395cfde7272d72638df69df859e865c30ac23","Password-based Auth"
"apps/docs/content/guides/auth/phone-login.mdx","guides","mdx","7498","400ebe0fddb56f0fceedaa71ebcf7d5b7eeb6fc9086871f680f440b6faf73653","Phone Login"
"apps/docs/content/guides/auth/quickstarts/astrojs.mdx","guides","mdx","18860","58af1a5cf342c469bff61a4764c7c249a17b6084806d97b3a33ee62c1afb5bf1","Use Supabase Auth with Astro"
"apps/docs/content/guides/auth/quickstarts/nextjs.mdx","guides","mdx","3070","d912d67d9e0820b77577065b3042b580f6abda1b90a4fe63156ac4fcf5d1af0b","Use Supabase Auth with Next.js"
"apps/docs/content/guides/auth/quickstarts/react-native.mdx","guides","mdx","3871","b81648f3fa6a07d93c0dcd0c71ed2de59dbad99a1458c41ef3190fd072186132","Use Supabase Auth with React Native"
"apps/docs/content/guides/auth/quickstarts/react.mdx","guides","mdx","3842","4b019d80f91995404e0f2f55af27fc41c555d6a41ee2218a24f1c9a9ce3ce32e","Use Supabase Auth with React"
"apps/docs/content/guides/auth/quickstarts/with-expo-react-native-social-auth.mdx","guides","mdx","21169","27814603adddc77d1425d60959ab853f39f640d21533e2fedf592c13f9b2c843","Build a Social Auth App with Expo React Native"
"apps/docs/content/guides/auth/rate-limits.mdx","guides","mdx","3989","ea02cb24d26d4dd9f532425c2e822390eb9756b0782621367445025f1c79dbca","Rate limits"
